OBJECTID,FarmNum,PresAbs,PondNum,PondRoost_Dist,PondArea,PondLong,PondLat
903,16,0,19,15826.66448,22282.77454,365885.6232,3674859.126
904,16,0,17,15807.60686,22774.37276,365858.3838,3674992.577
905,16,0,18,15618.57822,19172.92462,366051.2039,3674992.998
906,16,0,12,14897.40387,35095.04362,366840.8729,3674903.128
907,16,0,11,15060.67156,30392.60697,366649.0492,3674966.823
908,16,0,4,15266.13713,20771.1734,366384.2922,3675180.069
909,16,0,3,15209.65149,21026.65525,366387.028,3675368.231
910,16,0,8,14941.9205,46225.9274,366664.8746,3675270.91
911,16,0,7,15068.30487,50265.00335,366525.1821,3675273.393
912,16,0,10,14773.00226,47998.22896,366838.3058,3675271.607
913,16,0,2,15156.32635,19678.74242,366390.5646,3675560.836
914,16,0,1,15105.15245,17998.44326,366397.0145,3675737.342
915,16,0,6,14827.63464,47152.85779,366670.509,3675654.605
916,16,1,5,14959.66293,49792.31553,366530.4826,3675654.739
917,16,0,9,14663.77328,46127.33254,366843.5777,3675647.509
918,27,0,140,25935.71389,57875.25495,467635.8725,3583578.113
919,27,0,139,26206.4407,41146.3285,467411.1962,3583623.637
920,27,0,138,26393.2033,32116.09278,467230.4315,3583649.653
921,27,1,137,26567.26967,41137.18291,467041.7146,3583699.402
922,27,0,136,26775.59316,14070.29131,466890.9507,3583718.682
923,27,0,134,26881.45779,15377.29411,466807.1849,3583822.934
924,27,0,135,26988.88344,19812.15531,466709.6535,3583855.182
925,27,0,133,26659.47525,37244.22891,466996.447,3583880.335
926,27,0,132,26479.0533,31932.83112,467235.0188,3583861.236
927,27,0,130,26078.63671,61014.23836,467622.4267,3583860.466
928,27,0,131,26288.70293,56595.93408,467420.0616,3583884.746
929,27,0,129,26231.5681,89025.09233,467545.2404,3584179.76
